Default Dataset,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y
0.05860199305360436,0.4248779000603774,0.06094535541992213,0.2415396847221143,0.06199149933345682,0.606120838588961
0.1007765376821037,0.12270670309240139,0.10184659345651925,-0.004378859523795242,0.10250416963074105,0.22478643719250824
0.12610517632008417,0.4497372684285723,0.1244074341975478,0.3580741387246609,0.12492751717170508,0.5393230552184648
0.14777530024330315,0.5017754556703989,0.14889915770470047,0.3934397809673543,0.15097948960132945,0.6184354469425698
0.16988181562759663,0.2058960670966815,0.1739288980816709,0.11630430234156908,0.17444898105582818,0.2975532188353728
0.19341108673429735,0.40584704778187597,0.1959576999181018,0.2933417423377431,0.19662125405754383,0.5245903599332858
0.2178370526240278,0.41829616035293904,0.21888319653756244,0.2828773142197858,0.2182136644329003,0.5495453757450038
0.23595028724122874,0.2307584244474865,0.24143805931337087,0.1432469915890029,0.2404875628433592,0.31199897178998204
0.25897740926943286,0.2557104512765944,0.2643396440719508,0.12444927995408928,0.26653355730776346,0.3890280426348479
0.28048015016648625,0.24941565389972553,0.28453918855100097,0.16399053090309113,0.2850473155947178,0.3410728056384168
0.30980206957155915,0.46810456656763166,0.30665765986573484,0.37227778408785206,0.3072136106312134,0.5660266258570906
0.3293380599111673,0.2763971999210908,0.33050376312910607,0.18264477137271995,0.3353997166444485,0.3888845714695631
0.35821163192472544,0.3388370466460626,0.35494168494927697,0.19926052570226138,0.3542960647054955,0.47426187074443593
0.3997465342746635,0.8137505155995002,0.4008524578404003,0.6991648782587383,0.39717600922997837,0.9179225375266766
0.42361057143369535,0.6303674655220856,0.4246866051733312,0.5053652237851278,0.4225464936245001,0.7595363490175213
0.4436188210256992,0.6032424483354356,0.44618934607038446,0.49907042640825916,0.4467871425924043,0.7074025143321716
0.4682241258720356,0.6781911872836723,0.4693479833334328,0.5698555125806277,0.47143429319528213,0.7969344994350822
0.48896766518612383,0.4073146382434346,0.4872340552722663,0.3031515832640884,0.5006964329481529,0.4947902033105971
0.5315367555191564,0.24264261930524067,0.5370364835217387,0.1592978282052353,0.5360859870517274,0.32804980840621456
0.5548149520866086,0.35509412306239196,0.5603266360196315,0.27591597372086485,0.5593701615844,0.44258463304260487
0.583580920726203,0.38003419396105953,0.6092682372773954,0.33206401205157776,0.5823673937865028,0.45712005547551715
0.6038402448574554,0.44040865370245263,0.6211046084133882,0.4570393529450445,0.6288520513387652,0.65702321243895
0.6285651090081956,0.557023810235472,0.6497988414703402,0.45697957329284256,0.6517416801669047,0.634058859045558
0.6471864706691135,0.546568349065345,0.6716542823153855,0.5736007077910821,0.6710624637585858,0.8673519407464088
0.6735253854293075,0.725680142992928,0.6954166940656739,0.3548012027666022,0.6947112941696905,0.6089693390163855
0.6957753719788857,0.47980045552094974,0.7167938976931032,0.3047566669257117,0.7412736652698153,0.335955667409927
0.7170748620584524,0.4026727482499506,0.7378064454421003,0.12762955745123472,0.7620769842361055,0.5859123271620804
0.7410106348001266,0.24428954872340547,0.7613237606183605,0.3234138963779507,0.7876268075872332,0.490025765030099
0.7617063503924533,0.45674643264925474,0.781164627184199,0.23795589457260524,0.8296698369808884,0.6420215087188623
0.7843987063683262,0.3650324902409716,0.8539941774618753,0.6190541663428601,0.856277760175991,0.9148827422122058
0.8294008285459793,0.5482720691531016,0.8762979656984353,0.391924366784034,0.878521768760349,0.6669197338609882
0.8529719454092215,0.7628062959929698,0.8983327455000867,0.5710451276594473,0.8990620572569508,0.8252102749266205
0.8752637777153409,0.5315098546756655,0.9392877852236654,0.34387647132668964,0.9431256388950329,0.6813684757982077
0.8972507337952307,0.6939640485171656,0.9615258158428033,0.09383014209623308,0.9683108063677284,0.4583993400326396
0.9440940692607049,0.5188664582349459,,,,
0.9648854322965545,0.2646564762286211,,,,
